file,R[Ω],L[H],C[F],rmse_db,rmse_phase_deg
mcl1_337_cali1.s2p,38.32965516977715,2.099173456809509e-10,2.8711259376643725e-11,4.598291216831913,312.7046258216311
ejemplo.s2p,79.99999999248197,1.1579918512706915e-10,7.471327597738998e-11,17.557514629144528,2.70159364062184
